city,bathrooms,bedrooms,balconies,postedOn,furnishing,facing,flrNum,totalFlrNum,RentOrSale,locality,carpetArea,carpetAreaUnit,Lat,Long,noOfLifts,rentPrice,securityDeposit,maintenanceCharges,maintenanceChargesFrequency,firstMonthCharges,brokerage,exactPrice,sqftPrice,Bank & ATM,Golf Course,Early Learning Centre,Kids Play Area,Security,Meditation Area,Park,Multipurpose Courts,Intercom Facility,Rain Water Harvesting,AEROBICS ROOM,DTH Television Facility,Banquet Hall,Piped Gas,Earth quake resistant,Private Garden,Skydeck,Internet/Wi-Fi Connectivity,Cafeteria/Food Court,Grand Entrance lobby,Event Space & Amphitheatre,Conference Room,Recreational Pool,Visitor Parking,Guest Accommodation,Kids Play Pool With Water Slides,Concierge Services,Mini Cinema Theatre,Indoor Games Room,Outdoor Tennis Courts,Flower Gardens,Vaastu Compliant,Health club with Steam / Jaccuzi,CCTV Camera,Cricket net practice,Bar/Lounge,Club House,Air Conditioned,Canopy Walk,Fire Fighting Equipment,Private Terrace/Garden,Cycling & Jogging Track,RO Water System,Activity Deck4,Power Back Up,Reserved Parking,Barbeque Pit,Dance Studio,Kids Club,Service/Goods Lift,Retail Boulevard (Retail Shops),Waste Disposal,Lift,Library,Laundry Service,Rentable Community Space,Indoor Squash & Badminton Courts,Maintenance Staff,Jogging and Strolling Track,Library And Business Centre,Water Storage,Multipurpose Hall,Coffee Lounge & Restaurants,Gymnasium,Swimming Pool,Arts & Craft Studio
Gandhinagar,2,2,1,"Jun 27, '23",Unfurnished,East,5,10,Rent,Sargasan,700,Sq-ft,23.1848805,72.615856,2,,"34,000",9,9,"68,000",30 days,17000,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gandhinagar,2,2,1,"May 06, '23",Furnished,East,3,8,Rent,Kudasan,110,Sq-yrd,23.1824987,72.6382051,2,"21,000","42,000","1,000",Monthly,"85,000",30 days,21000,18.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,2,2,2,"May 20, '23",Unfurnished,North - East,7,8,Rent,Kudasan,102,Sq-yrd,23.18148,72.63599,9,"21,000","16,000","1,000",Monthly,"38,000",9,21000,15.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,2,2,1,"Jun 28, '23",Furnished,East,3,5,Rent,Sargasan,145,Sq-ft,23.1848805,72.615856,9,"25,000","25,000","1,500",Monthly,"76,500",30 days,25000,172.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,3,3,2,"Jun 28, '23",Furnished,East,2,8,Rent,Kudasan,164,Sq-yrd,23.1698784,72.6232479,1,,"50,000",9,9,"1,02,000",30 days,26000,14.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,2,2,1,"Jun 06, '23",Semi-Furnished,East,5,8,Rent,Randesan,1100,Sq-ft,23.17588,72.65443,2,"15,000","15,000","2,000",Monthly,"47,000",30 days,15000,10.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,2,2,1,"Jun 19, '23",Semi-Furnished,North - East,3,12,Rent,Kudasan,105,Sq-yrd,23.1698784,72.6232479,2,"15,000","30,000","1,500",Monthly,"61,500",30 days,15000,11.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,3,3,2,"May 20, '23",Furnished,North - East,3,5,Rent,Gandhinagar,139,Sq-yrd,23.0395677,72.5660045,1,"23,000","46,000","1,000",Monthly,"70,000",9,23000,13.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,3,3,1,"May 07, '23",Furnished,North - East,6,7,Rent,Kudasan,1776,Sq-ft,23.1698784,72.6232479,1,"26,000","52,000","1,000",Monthly,"1,05,000",30 days,26000,14.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,2,2,1,"Jun 19, '23",Semi-Furnished,East,9,9,Rent,Randesan,102,Sq-yrd,23.17588,72.65443,2,"19,000","38,000","2,000",Monthly,"78,000",30 days,19000,12.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
